Name,Ingredients,Instructions
Bratäpfel (für 4 Portionen),"['4 säuerliche Lageräpfel', '50 g Rosinen', '50 g Sonnenblumenkerne', '1 EL Honig', '3 EL Magerquark', '1 TL Zimt', '30 g Butter']","['Äpfel waschen, das Kerngehäuse mit einem Apfelausstecher oder einem kleinen Messer ausstechen.', 'Sonnenblumenkerne grob zerhacken und mit Quark, Rosinen, Honig und Zimt gut vermischen. Die Äpfel in eine Auflaufform setzen, mit der Masse füllen und mit flüssiger Butter bestreichen.', 'In den kalten Ofen schieben und bei 200\xa0Grad Celsius 30\xa0Minuten auf der mittleren Schiebeleiste backen.']"
Grünkohl auf rheinische Art  (für 4 Portionen),"['1,5 kg Grünkohl', '2 Zwiebeln', '100 g durchwachsener Speck', '2 EL Olivenöl', '750 g Kartoffeln', '3 EL brauner Vollrohrzucker', '1/4 l Gemüsebrühe', '3 EL Senf', 'Salz', 'schwarzer Pfeffer', '4 Mettwürstchen']","['Grünkohl waschen, putzen und klein schneiden.', 'Zwiebeln schälen und in grobe Würfel schneiden. Speck ebenfalls in Würfel schneiden.', 'Kartoffeln schälen und in mundgerechte Würfel schneiden.', 'Öl in einem großen Topf erhitzen und Zwiebeln, Speck sowie Kartoffeln darin anbraten.', 'Den Zucker dazugeben und unter Rühren karamellisieren lassen. Dann mit der Gemüsebrühe ablöschen.', 'Grünkohl dazugeben und alles im geschlossenen Topf bei geringer Hitzezufuhr 30\xa0Minuten köcheln lassen.', '10\xa0Minuten vor Ende der Garzeit die Mettwürstchen auf den Grünkohl legen und erwärmen.', 'Vor dem Servieren mit Pfeffer, Salz und Senf abschmecken.']"
Rosenkohlsalat (für 4 Portionen),"['500 g Rosenkohl', '4 EL Olivenöl', '2 EL Weißweinessig', '1 TL Senf', '1/2 TL Honig', 'schwarzer Pfeffer', 'Salz', '50 g Sesam']","['Rosenkohl waschen, putzen und die zu großen Röschen halbieren, in Salzwasser in 8\xa0bis 10\xa0Minuten kochen. Sie sollten noch bissfest sein.', 'Aus Öl, Essig, Senf, Honig, Pfeffer und Salz eine Marinade bereiten und über den Rosenkohl geben. Etwa 1\xa0Stunde ziehen und erkalten lassen.', 'Sesam in einer trockenen Pfanne leicht rösten, abkühlen lassen und unter den Salat mischen.']"
Zwiebelsuppe (für 4 Portionen),"['1 kg Zwiebeln', '30 g Butter', '1 l Gemüsebrühe', '2 Weizenvollkornbrötchen', '100 g geriebener Emmentaler oder Gruyère', '1/2 TL Kümmel', 'Pfeffer, Salz']","['Zwiebeln schälen, in dünne Ringe schneiden und mit Butter in einem großen Topf glasig dünsten.', 'Gemüsebrühe aufgießen, Kümmel dazugeben, aufkochen lassen und zugedeckt 20\xa0Minuten köcheln lassen.', 'Inzwischen die Brötchen in je 4\xa0Scheiben schneiden, in einem Toaster oder in einer trockenen Pfanne beidseitig rösten.', 'Die Suppe mit Pfeffer und Salz abschmecken und auf vier feuerfeste Schüsselchen verteilen.', 'Je 2\xa0geröstete Brötchenscheiben darauf legen und mit dem Käse bestreuen.', 'Bei 220\xa0Grad Celsius im Backofen 10\xa0bis 15\xa0Minuten goldgelb überbacken und sofort servieren.']"
Linsen mit Spätzle (für 4 Portionen),"['400 g Weizenvollkornmehl', '3 Eier', '1 TL Salz', '200 ml Wasser', '2 l Salzwasser zum Kochen']","['Die Linsen in einem Sieb waschen und in Salzwasser bei geringer Hitzezufuhr 1\xa0Stunde garen.', '20\xa0Minuten vor Ende der Garzeit Möhren-, Sellerie- und Zwiebelwürfel sowie Knoblauch zugeben, mitgaren, anschließend abgießen.', 'Für die Spätzle Mehl, Eier, Salz und Wasser zu einem Teig verrühren, der schwer vom Löffel läuft. Den Teig solange mit einem Kochlöffel an den Schüsselrand schlagen, bis er Blasen wirft.', 'Den Teig durch eine Spätzlepresse oder durch einen Spätzlehobel drücken oder von einem Brett in sprudelnd kochendes Salzwasser schaben.', 'Sobald die Spätzle an die Oberfläche steigen, mit einem Schaumlöffel herausholen und in einer Schüssel mit kaltem Wasser kurz abschrecken, dann in einem Sieb abtropfen lassen. Die nächste Portion in das sprudelnde Wasser geben und genauso verfahren, bis der Teig aufgebraucht ist.', 'Die Butter in einem Topf erhitzen, Mehl dazugeben und unter Rühren vorsichtig bräunen.', 'Nach und nach das Wasser dazugeben, unter kräftigem Rühren einmal aufkochen lassen.', 'Die Sauce mit Tomatenmark, Essig, Honig, Salz und Pfeffer würzen, dann das Linsengemüse hinzugeben.', 'Inzwischen die Spätzle noch einmal kurz zum Aufwärmen in heißes Salzwasser geben oder mit etwas Butter in einer Pfanne erwärmen. Zusammen mit den Linsen servieren.']"
Rote-Bete-Salat mit Meerrettich (für 4 Portionen),"['400 g Weizenvollkornmehl', '3 Eier', '1 TL Salz', '200 ml Wasser', '2 l Salzwasser zum Kochen']","['Die Linsen in einem Sieb waschen und in Salzwasser bei geringer Hitzezufuhr 1\xa0Stunde garen.', '20\xa0Minuten vor Ende der Garzeit Möhren-, Sellerie- und Zwiebelwürfel sowie Knoblauch zugeben, mitgaren, anschließend abgießen.', 'Für die Spätzle Mehl, Eier, Salz und Wasser zu einem Teig verrühren, der schwer vom Löffel läuft. Den Teig solange mit einem Kochlöffel an den Schüsselrand schlagen, bis er Blasen wirft.', 'Den Teig durch eine Spätzlepresse oder durch einen Spätzlehobel drücken oder von einem Brett in sprudelnd kochendes Salzwasser schaben.', 'Sobald die Spätzle an die Oberfläche steigen, mit einem Schaumlöffel herausholen und in einer Schüssel mit kaltem Wasser kurz abschrecken, dann in einem Sieb abtropfen lassen. Die nächste Portion in das sprudelnde Wasser geben und genauso verfahren, bis der Teig aufgebraucht ist.', 'Die Butter in einem Topf erhitzen, Mehl dazugeben und unter Rühren vorsichtig bräunen.', 'Nach und nach das Wasser dazugeben, unter kräftigem Rühren einmal aufkochen lassen.', 'Die Sauce mit Tomatenmark, Essig, Honig, Salz und Pfeffer würzen, dann das Linsengemüse hinzugeben.', 'Inzwischen die Spätzle noch einmal kurz zum Aufwärmen in heißes Salzwasser geben oder mit etwas Butter in einer Pfanne erwärmen. Zusammen mit den Linsen servieren.']"
Szegediner Krauttopf (für 4 Portionen),"['500 g Sauerkraut', '1 kg mehlig kochende Kartoffeln', '2 Zwiebeln', '200 ml Wasser', '1 Knoblauchzehe', '2 EL Olivenöl', '3 EL Tomatenmark', '3 TL edelsüßer Paprika', '1 TL gemahlener Kümmel', '1 TL Honig', '1 l Gemüsebrühe', '4 EL saure Sahne', '1/2 Bund Schnittlauch', 'Salz, Cayennepfeffer']","['Die Kartoffeln waschen, schälen und in etwa 2\xa0Zentimeter große Würfel schneiden.', 'Zwiebeln und Knoblauchzehe schälen, würfeln und in einem großen Topf im Olivenöl glasig dünsten.', 'Kartoffeln dazugeben und kurz mitschmoren.', 'Sauerkraut, Tomatenmark, Kümmel und Paprika unterrühren.', 'Die Gemüsebrühe angießen, aufkochen lassen und alles bei geringer Hitzezufuhr im geschlossenen Topf 25\xa0Minuten köcheln lassen.', 'Den Schnittlauch waschen und in kleine Röllchen schneiden.', 'Vor dem Servieren den Eintopf mit Cayennepfeffer und Salz abschmecken.', 'Auf vier Teller verteilen und mit ein wenig saurer Sahne und Schnittlauch garnieren.']"
Bohnen-Eintopf (für 4 Portionen),"['200 g getrocknete weiße Bohnen', '1 l Gemüsebrühe', '1 EL getrocknete Kräuter (Oregano, Thymian, Bohnenkraut, o.ä.)', '1 Zwiebel', '1 Knoblauchzehe', '1 kleine Chilischote (getrocknet)', '1 Stange Lauch', '2 Möhren', '1/2 Sellerieknolle', '2 EL Olivenöl', '3 EL Tomatenmark', 'Saft einer 1/2 Zitrone', '1/2 Bund Petersilie', 'Salz, Pfeffer']","['Bohnen über Nacht in reichlich Wasser einweichen.', 'Am nächsten Tag das Einweichwasser abgießen. Die Bohnen mit der Gemüsebrühe und Kräutern aufkochen und circa 1\xa0Stunde bei kleiner Hitze im geschlossenen Topf garen.', 'Zwiebel und Knoblauch schälen und hacken. Die Chilischote von den Kernen befreien und in feine Streifen schneiden. Lauch, Möhren und Sellerie waschen, putzen und in Scheiben bzw. Würfel schneiden.', 'Olivenöl erhitzen und das Gemüse darin andünsten.', 'Gegarte Bohnen mit der Gemüsebrühe dazugießen und 15\xa0Minuten weitergaren.', 'Tomatenmark unterrühren.', 'Petersilie waschen, fein hacken und zusammen mit dem Zitronensaft unter den Eintopf rühren, mit Salz und Pfeffer abschmecken.']"
Feldsalat mit Röstkartoffeln (für 4 Portionen),"['1 kg Kartoffeln', '5 EL Olivenöl', '300 g Feldsalat', '3 EL Weißweinessig', 'je 2 EL Sonnenblumen- und Kürbiskernöl', '1/2 TL Honig', '1/2 TL Senf', 'Salz, schwarzer Pfeffer']","['Feldsalat waschen und putzen.', 'Kartoffeln waschen, schälen und in etwa 1 Zentimeter große Würfel schneiden.', 'Kartoffelwürfel in einer großen Pfanne im Olivenöl in rundum braun rösten, mit Salz und Pfeffer würzen.', 'Essig, Sonnenblumen- und Kürbiskernöl, Honig, Senf, Pfeffer und Salz zu einer Marinade verrühren.', 'Den Feldsalat auf vier Tellern kranzförmig anrichten, mit Marinade beträufeln und je eine Portion Röstkartoffeln in die Mitte geben.']"
Gemüse-Hirsotto (für 4 Portionen),"['250 g Hirse', '750 ml Gemüsebrühe', '1 Zwiebel', '1 Knoblauchzehe', '4 Stangen Staudensellerie', '4 Möhren', '2 EL Olivenöl', '1 Glas (450 ml) pürierte Tomaten', 'Salz, schwarzer Pfeffer']","['Hirse in kaltem Wasser waschen, in der Gemüsebrühe aufkochen und circa 10\xa0Minuten ziehen lassen.', 'Zwiebel und Knoblauch fein würfeln. Sellerie und Möhren waschen, gegebenenfalls schälen und in Streifen schneiden.', 'Zwiebel und Knoblauch im Öl bei mittlerer Hitze in einer großen Pfanne glasig dünsten. Sellerie und Möhren dazugeben und kurz mitdünsten.', 'Pürierte Tomaten angießen, mit Salz und Pfeffer würzen und circa 10\xa0Minuten köcheln lassen.', 'Die Hirse abgießen, unter das Gemüse mischen, weitere 10\xa0Minuten ziehen lassen und servieren.']"
