Name,Ingredients,Instructions,vegan,gluten-free,vegetarian,fruit
Baked Apples (for 4 servings),"['4 tart storing apples', '50 g raisins', '50 g sunflower seeds', '1 tbsp honey', '3 tbsp low-fat quark', '1 tsp cinnamon', '30 g butter']","'Wash apples, core them with an apple corer or a small knife.', 'Roughly chop sunflower seeds and mix them well with quark, raisins, honey, and cinnamon. Place the apples in a baking dish, fill them with the mixture, and brush with melted butter.', 'Slide into the cold oven and bake on the middle rack at 200 degrees Celsius for 30 minutes.'",False,True,True,False
Rhenish-Style Kale (for 4 servings),"['1.5 kg kale', '2 onions', '100 g streaky bacon', '2 tbsp olive oil', '750 g potatoes', '3 tbsp brown cane sugar', '1/4 l vegetable broth', '3 tbsp mustard', 'Salt', 'black pepper', '4 mettwurst sausages']","['Wash, clean, and chop the kale.', 'Peel and roughly dice the onions. Also chop the bacon into cubes.', 'Peel the potatoes and cut them into bite-sized cubes.', 'Heat oil in a large pot and sauté the onions, bacon, and potatoes in it.', 'Add the sugar and let it caramelize while stirring. Then deglaze with the vegetable broth.', 'Add the kale and let everything simmer in the covered pot over low heat for 30 minutes.', '10 minutes before the end of the cooking time, place the smoked sausages on top of the kale to warm them up.', 'Season with pepper, salt, and mustard before serving.']",True,True,True,False
Cabbage salad (for 4 servings),"['500 g Brussels sprouts', '4 tbsp olive oil', '2 tbsp white wine vinegar', '1 tsp mustard', '1/2 tsp honey', 'black pepper', 'salt', '50 g sesame seeds']","['Wash and trim the Brussels sprouts, halve the larger sprouts, and cook in salted water for 8 to 10 minutes. They should still be slightly firm.', 'Prepare a marinade from oil, vinegar, mustard, honey, pepper, and salt, and pour over the Brussels sprouts. Let it marinate and cool for about 1 hour.', 'Lightly toast sesame seeds in a dry pan, let them cool, and mix into the salad.']",False,True,True,False
Onion soup (for 4 portions),"['1 kg onions', '30 g butter', '1 l vegetable broth', '2 whole wheat bread rolls', '100 g grated Emmental or Gruyère cheese', '1/2 tsp caraway seeds', 'pepper, salt']","Peel and slice onions into thin rings and sauté in a large pot with butter until translucent. Pour in vegetable broth, add caraway seeds, bring to a boil, then cover and let simmer for 20 minutes. Meanwhile, slice the rolls into 4 pieces each, then toast on both sides in a toaster or dry pan. Season the soup with salt and pepper, then distribute into four heatproof bowls. Place 2 toasted bread slices on top and sprinkle with cheese. Bake in the oven at 220 degrees Celsius for 10 to 15 minutes until golden brown, then serve immediately.",False,False,True,True
Lentils with Spätzle (for 4 servings),"['400 g whole wheat flour', '3 eggs', '1 tsp salt', '200 ml water', '2 liters of salted water for boiling']","Wash the lentils in a sieve and cook in salted water over low heat for 1 hour. Add diced carrots, celery, onions, and garlic 20 minutes before the end of the cooking time, cook together, then drain.

For the spaetzle, mix flour, eggs, salt, and water to a dough that is thick and sticks to the spoon. Beat the dough with a cooking spoon against the edge of the bowl until bubbles form.

Press the dough through a spaetzle press or spaetzle slicer, or scrape it from a board into boiling salted water. As soon as the spaetzle rise to the surface, remove them with a slotted spoon and briefly rinse in cold water in a bowl, then drain in a sieve. Repeat with the remaining dough.

Heat the butter in a pot, add flour and brown gently while stirring. Gradually add water, bring to a boil while stirring vigorously.

Season the sauce with tomato paste, vinegar, honey, salt, and pepper, then add the lentil vegetables.

Meanwhile, briefly warm the spaetzle again in hot salted water or in a pan with some butter. Serve together with the lentils.",False,False,True,True
Beetroot salad with horseradish (for 4 servings),"['400 g whole wheat flour', '3 eggs', '1 tsp salt', '200 ml water', '2 liters of salted water for boiling']","Wash the lentils in a sieve and cook them in salted water over low heat for 1 hour. Add the carrots, celery, onions, and garlic 20 minutes before the end of the cooking time, let them cook together, then drain.

For the spaetzle, mix flour, eggs, salt, and water to form a dough that is thick and runs slowly off the spoon. Beat the dough against the edge of the bowl with a cooking spoon until it forms bubbles. 

Press the dough through a spaetzle press or spaetzle maker, or scrape it from a board into boiling salted water. As soon as the spaetzle rise to the surface, remove them with a slotted spoon and briefly rinse in cold water in a bowl, then drain in a sieve. Repeat with the remaining dough until it is used up.

Heat butter in a pot, add flour, and gently brown while stirring. Gradually add water, bring to a boil while stirring vigorously. Season the sauce with tomato paste, vinegar, honey, salt, and pepper, then add the lentil vegetable mixture.

Meanwhile, briefly reheat the spaetzle in hot salted water or with some butter in a pan. Serve together with the lentils.",False,False,True,True
Szegediner Krauttopf (for 4 servings),"['500 g sauerkraut', '1 kg floury potatoes', '2 onions', '200 ml water', '1 clove of garlic', '2 tbsp olive oil', '3 tbsp tomato paste', '3 tsp sweet paprika', '1 tsp ground caraway seeds', '1 tsp honey', '1 l vegetable broth', '4 tbsp sour cream', '1/2 bunch of chives', 'salt, cayenne pepper']","'Wash, peel and cut the potatoes into approximately 2 centimeter cubes.', 'Peel and dice the onions and garlic, then sauté them in olive oil in a large pot until translucent.', 'Add the potatoes and sauté briefly.', 'Stir in sauerkraut, tomato paste, caraway seeds, and paprika.', 'Pour in the vegetable broth, bring to a boil, then let simmer on low heat in a covered pot for 25 minutes.', 'Wash the chives and cut them into small rolls.', 'Season the stew with cayenne pepper and salt before serving.', 'Divide onto four plates and garnish with a dollop of sour cream and chives.'",False,True,True,False
Bean stew (for 4 servings),"['200 g dried white beans', '1 liter vegetable broth', '1 tbsp dried herbs (oregano, thyme, savory, or similar)', '1 onion', '1 clove of garlic', '1 small dried chili pepper', '1 leek', '2 carrots', '1/2 celeriac', '2 tbsp olive oil', '3 tbsp tomato paste', 'Juice of 1/2 lemon', '1/2 bunch of parsley', 'Salt, pepper']","Soak beans overnight in plenty of water. The next day, drain the soaking water. Bring the beans to a boil with the vegetable broth and herbs, and simmer on low heat in a covered pot for about 1 hour.

Peel and chop the onion and garlic. Remove the seeds from the chili pepper and cut into thin strips. Wash, clean, and slice or dice the leek, carrots, and celery.

Heat olive oil and sauté the vegetables in it. Pour the cooked beans with the vegetable broth and continue cooking for another 15 minutes. Stir in the tomato paste.

Wash the parsley, finely chop it, and stir into the stew with the lemon juice. Season with salt and pepper.",True,True,True,False
Field salad with roasted potatoes (for 4 servings),"['1 kg potatoes', '5 tbsp olive oil', '300 g lamb's lettuce', '3 tbsp white wine vinegar', '2 tbsp sunflower and pumpkin seed oil each', '1/2 tsp honey', '1/2 tsp mustard', 'salt, black pepper']","[Wash and clean lamb's lettuce.']

[Wash, peel and cut potatoes into approximately 1 centimeter cubes.]

[In a large pan, fry potato cubes in olive oil until browned on all sides, season with salt and pepper.]

[Whisk together vinegar, sunflower and pumpkin seed oil, honey, mustard, pepper and salt to make a marinade.]

[Arrange the lamb's lettuce on four plates in a wreath shape, drizzle with marinade and place a portion of roasted potatoes in the center of each.]",False,True,False,False
Vegetable Risotto (for 4 servings),"['250 g millet', '750 ml vegetable broth', '1 onion', '1 clove of garlic', '4 stalks of celery', '4 carrots', '2 tbsp olive oil', '1 can (450 ml) pureed tomatoes', 'Salt, black pepper']","['Wash millet in cold water, bring to a boil in vegetable broth, and let steep for about 10 minutes.', 'Finely dice onion and garlic. Wash celery and carrots, peel if necessary, and cut into strips.', 'Sauté onion and garlic in oil over medium heat in a large pan until translucent. Add celery and carrots and sauté briefly.', 'Pour in pureed tomatoes, season with salt and pepper, and let simmer for about 10 minutes.', 'Drain the millet, mix it with the vegetables, let steep for another 10 minutes, and serve.']",True,True,True,False
